breed,age,weight,chest,neck,back,leg,chest_pre,neck_pre,back_pre,leg_pre
요크셔 테리어,3,1.6,24,17,24,10,26.05418228,16.12675739,22.68006579,11.98609075
비숑 프리제,5,10.6,52,26.8,36.8,21.3,51.699239,32.1100696,45.79316419,23.15015454
래브라도 리트리버,7,36,75,51,57,31,77.59850132,49.00575962,60.08957885,35.75501531
푸들 미디엄미니어처,7,8.4,48,32,40,25,48.44097889,30.15141079,42.27226283,24.42599101
믹스 소형견,7,4.5,37,21,32,22,39.00808304,24.94353001,32.94052072,17.32826305
믹스 소형견,7,8.8,47.5,30.4,45.2,22,49.51115656,30.77513241,41.33301547,22.47721353
푸들 미디엄미니어처,8,2.6,36,24.5,27.5,15.5,32.96719016,20.10673158,28.2769934,16.81807631
비숑 프리제,8,4.8,33.8,24.2,30.3,14.2,39.57761449,24.59730784,34.83522425,17.98306394
믹스 소형견,8,4.8,43,31,37,20,40.43251421,25.76867748,33.67983444,17.79502163
불독,8,11,48.5,32,38.5,20,55.88617078,38.58043399,39.82323982,19.10980973
요크셔 테리어,9,1.8,28.5,19.8,25.5,12.3,26.90290124,17.4745892,23.45634848,13.08889016
푸들 미디엄미니어처,9,4.5,35.5,21.5,38.5,16,39.48853573,24.24792758,34.09884227,20.08998664
요크셔 테리어,10,1.6,27.4,16.4,21,10.8,25.94115275,16.18486961,22.50309508,12.79516765
요크셔 테리어,10,2.6,29.8,19.7,24.4,13.4,30.55443116,18.88243672,27.34247486,14.38939419
푸들 미디엄미니어처,10,4.5,31,22,32,17,39.82721836,24.4710196,33.74686488,19.81878839
요크셔 테리어,10,2,30,19,26,15,28.71481082,18.05959663,24.54396395,13.1946778
비글,10,12.2,60,28,41,32,52.01270814,27.96377288,39.58250613,25.07864183
푸들 미디엄미니어처,10,3.8,34,22,27.2,24,37.63173488,23.02300244,32.51022415,19.14480189
포메라니안,10,2.5,34.5,26.5,34.5,13,34.15271044,22.84916362,26.36799576,14.77107934
푸들 미디엄미니어처,10,1.4,24.5,17.5,20,17,23.34036889,14.33214892,20.15469915,11.87452739
요크셔 테리어,11,2,28.3,18.6,22.5,11.4,28.15692522,17.98722721,25.11918899,13.13935342
푸들 미디엄미니어처,11,4.6,38.2,29,34.3,22.1,39.35251801,24.40868039,34.78713182,20.21530483
불독,11,12,53.5,35.2,42.5,21,57.53632639,39.71960167,40.99910393,19.67406667
비숑 프리제,11,4.4,35,22.5,29.5,16,39.01965247,24.33517002,34.07876724,17.35742034
포메라니안,12,2.4,33.5,21.5,27.5,17,33.68685926,22.53749553,26.00832996,14.56959826
말티푸,12,3.2,32,19.5,26.5,13,35.10674173,22.73865519,29.48841887,14.37532475
포메라니안,13,4.2,47,32.3,30.1,24.3,40.81407215,27.60684095,31.84810282,17.35454995
요크셔 테리어,13,2.2,28.8,18.9,24,14,29.17816241,17.8583705,25.46745901,13.33707477
요크셔 테리어,13,3.5,32.3,20.3,29.3,14.8,34.25501194,21.09435574,30.24920555,16.29767617
푸들 미디엄미니어처,13,7.3,44.1,32.1,36,28.9,46.36019411,28.9897023,39.63323624,23.24920535
치와와,13,3.6,36,25,39.5,23,36.79687462,24.69588902,26.54808068,16.17580728
푸들 미디엄미니어처,14,3.19,36,20.5,31.5,21.5,35.17436648,21.7875895,30.44315676,17.76171671
말티즈,14,3.1,34.4,21.3,31.2,17.4,34.89848445,21.94429246,28.71720878,14.23431659
닥스훈트,14,9,50.2,30.5,40.5,9.5,48.55988885,32.53138182,43.79951328,13.46348905
포메라니안,15,3.5,37.2,21.7,29.6,17.3,38.26830305,25.72495946,29.4796248,16.37216278
시츄,15,4.5,37,25,31,15,39.49017804,25.65800594,32.6317228,15.69201903
말티푸,15,3,36,20,30,17,34.33089272,22.23613737,28.83673319,14.05763416
폼피츠,16,5.6,44,28,40,22,45.28057375,30.35958373,34.94856512,19.93433798
치와와,16,2.8,33.7,23.8,22.5,17.2,34.20221692,22.49231385,24.14214758,15.00599387
푸들 미디엄미니어처,16,5.3,38.4,26,43.1,27,41.75735654,25.35157673,36.38702846,21.17125849
